,Description,Data.Carbohydrate,Data.Protein,Data.Fat.Total Lipid,Data.Calories
1164,"Frankfurter or hot dog, meat and poultry, fat free",11.8,13.16,1.67,114.87
1165,"Frankfurter or hot dog, meat and poultry",5.28,10.23,25.45,291.09
1166,"Frankfurter or hot dog, meat and poultry, reduced fat or light",8.84,16.32,2.95,127.19
1167,"Frankfurter or hot dog, chicken",4.01,12.87,18.2,231.32
1168,"Frankfurter or hot dog, turkey",4.01,12.87,18.2,231.32
1169,"Frankfurter or hot dog, beef, reduced fat or light",8.84,16.32,2.95,127.19
1170,"Frankfurter or hot dog, reduced fat or light, NFS",8.84,16.32,2.95,127.19
1171,Beef sausage,3.37,13.3,28.7,324.98
1172,"Beef sausage, reduced fat",0.15,20.94,20.32,267.24
1173,"Beef sausage, reduced sodium",13.25,19.93,11.13,232.89
1174,Beef sausage with cheese,3.4,13.78,29.01,329.81
1175,Blood sausage,1.29,14.6,34.5,374.06
1176,Bratwurst,2.85,13.72,29.18,328.9
1177,"Bratwurst, with cheese",2.94,14.16,29.44,333.36
1178,"Bologna, NFS",6.31,10.34,23.77,280.53
1179,"Bologna, made from any kind of meat, reduced fat",5.2,11.8,14.8,201.2
1180,"Bologna, made from any kind of meat, reduced sodium",6.31,10.34,23.77,280.53
1181,"Bologna, made from any kind of meat, reduced fat and reduced sodium",5.2,11.8,14.8,201.2
1182,Turkey or chicken and beef sausage,2.23,16.47,20.47,259.03
1183,Chorizo,2.63,19.3,28.1,340.62
1184,Head cheese,0.0,13.83,10.9,153.42
1185,Knockwurst,3.2,11.1,27.7,306.5
1186,Mortadella,3.05,16.37,25.39,306.19
1187,"Pastrami, NFS",0.36,21.8,5.82,141.02
1188,"Pastrami, made from any kind of meat, reduced fat",0.64,18.62,3.69,110.25
1189,"Pepperoni, NFS",1.18,19.25,46.28,498.24
1190,"Pepperoni, reduced fat",0.72,21.07,31.65,372.01
1191,"Pepperoni, reduced sodium",1.18,19.25,46.28,498.24
1192,Polish sausage,5.03,12.45,29.68,337.04
1193,Italian sausage,2.15,18.2,26.2,317.2
1194,"Sausage, NFS",1.42,18.53,27.25,325.05
1195,Pork sausage,1.42,18.53,27.25,325.05
1196,"Pork sausage, reduced fat",0.15,20.94,20.32,267.24
1197,"Pork sausage, reduced sodium",13.25,19.93,11.13,232.89
1198,Pork sausage rice links,0.15,20.94,20.32,267.24
1199,Pork and beef sausage,2.4,15.92,27.98,325.1
1200,"Salami, NFS",0.72,21.07,31.65,372.01
1201,"Salami, made from any type of meat, reduced fat",1.55,19.2,9.21,165.89
1202,"Salami, made from any type of meat, reduced sodium",0.72,21.07,31.65,372.01
1203,"Scrapple, cooked",14.96,8.57,14.76,226.96
1204,Thuringer,3.33,17.45,30.43,356.99
1205,Turkey or chicken sausage,1.09,19.65,12.24,193.12
1206,"Turkey or chicken sausage, reduced sodium",13.32,20.03,10.7,229.7
1207,"Turkey or chicken sausage, reduced fat",1.09,19.65,12.24,193.12
1208,Turkey or chicken and pork sausage,0.7,22.7,23.0,300.6
1209,"Turkey or chicken, pork, and beef sausage, reduced sodium",13.25,19.93,11.13,232.89
1210,"Vienna sausage, canned",2.6,10.5,19.4,227.0
1211,Pickled sausage,2.13,18.06,25.99,314.67
1212,"Luncheon meat, NFS",0.27,16.7,3.73,101.45
1213,"Ham, prepackaged or deli, luncheon meat",0.27,16.7,3.73,101.45
1214,"Ham, prepackaged or deli, luncheon meat, reduced sodium",0.27,16.7,3.73,101.45
1215,"Chicken, prepackaged or deli, luncheon meat",2.92,17.4,1.86,98.02
1216,"Chicken, prepackaged or deli, luncheon meat, reduced sodium",2.92,17.4,1.86,98.02
1217,"Ham luncheon meat, loaf type",1.57,17.99,4.39,117.75
1218,"Ham and pork, canned luncheon meat, chopped, minced, pressed, spiced",4.6,13.4,26.6,311.4
1219,"Ham, pork and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced fat and reduced sodium",3.4,12.5,25.1,289.5
1220,"Ham, pork, and chicken, canned luncheon meat, chopped, minced, pressed, spiced, reduced sodium",3.4,12.5,25.1,289.5
1221,Liverwurst,3.1,14.5,28.5,326.9
1222,"Luncheon meat, loaf type",8.46,11.23,15.95,222.31
1223,"Turkey, prepackaged or deli, luncheon meat",2.2,14.81,3.77,101.97
1224,"Turkey, prepackaged or deli, luncheon meat, reduced sodium",2.2,14.81,3.77,101.97
1225,"Turkey ham, prepackaged or deli, luncheon meat",2.93,19.6,3.8,124.32
1226,"Beef, prepackaged or deli, luncheon meat",0.64,18.62,3.69,110.25
1227,"Beef, prepackaged or deli, luncheon meat, reduced sodium",0.64,18.62,3.69,110.25
1228,"Meat spread or potted meat, NFS",11.94,7.66,17.34,234.46
1229,Chicken salad spread,7.41,11.64,13.52,197.88
1230,Ham salad spread,10.64,8.68,15.53,217.05
1231,"Fish, NS as to type, raw",0.0,18.13,3.57,104.65
1232,"Fish, NS as to type, cooked, NS as to cooking method",0.1,22.17,8.14,162.34
1233,"Fish, NS as to type, baked or broiled, made with oil",0.1,22.17,8.14,162.34
1234,"Fish, NS as to type, baked or broiled, made with butter",0.1,22.2,7.43,156.07
1235,"Fish, NS as to type, baked or broiled, made with margarine",0.13,22.17,6.82,150.58
1236,"Fish, NS as to type, baked or broiled, no added fat",0.1,22.84,4.5,132.26
1237,"Fish, NS as to type, baked or broiled, made with cooking spray",0.2,22.75,4.87,135.63
1238,"Fish, NS as to type, coated, baked or broiled, made with oil",12.51,19.21,9.81,215.17
1239,"Fish, NS as to type, coated, baked or broiled, made with butter",12.51,19.26,8.73,205.65
1240,"Fish, NS as to type, coated, baked or broiled, made with margarine",12.56,19.22,7.8,197.32
1241,"Fish, NS as to type, coated, baked or broiled, no added fat",13.1,20.11,4.25,171.09
1242,"Fish, NS as to type, coated, baked or broiled, made with cooking spray",13.14,20.05,4.54,173.62
1243,"Fish, NS as to type, coated, fried, made with oil",9.85,18.47,13.37,233.61
1244,"Fish, NS as to type, coated, fried, made with butter",9.86,18.55,11.73,219.21
1245,"Fish, NS as to type, coated, fried, made with margarine",9.93,18.49,10.33,206.65
1246,"Fish, NS as to type, coated, fried, no added fat",11.6,21.74,5.49,182.77
1247,"Fish, NS as to type, coated, fried, made with cooking spray",11.64,21.68,5.78,185.3
1248,"Fish, NS as to type, steamed",0.0,25.78,5.53,152.89
1249,"Fish, NS as to type, dried",0.0,62.82,2.37,272.61
1250,"Fish, NS as to type, canned",0.08,19.0,0.94,84.78
1251,"Fish, NS as to type, smoked",0.0,18.28,4.32,112.0
1252,"Fish, NS as to type, from fast food",16.89,13.49,10.79,218.63
1253,"Fish stick, patty or nugget from fast food",21.66,11.01,16.23,276.75
1254,"Fish stick, patty or nugget from restaurant, home, or other place",21.66,11.01,16.23,276.75
1255,"Anchovy, cooked, NS as to cooking method",0.0,28.89,9.71,202.95
1256,"Anchovy, canned",0.0,28.89,9.71,202.95
1257,"Barracuda, cooked, NS as to cooking method",0.1,24.54,13.42,219.34
1258,"Barracuda, baked or broiled, fat added",0.1,24.54,13.42,219.34
1259,"Barracuda, baked or broiled, no added fat",0.1,25.28,9.94,190.98
1260,"Barracuda, coated, baked or broiled, fat added",12.51,21.02,13.84,258.68
1261,"Barracuda, coated, baked or broiled, no added fat",13.1,22.0,8.47,216.63
1262,"Barracuda, coated, fried",9.85,20.13,17.06,273.46
1263,"Barracuda, steamed or poached",0.0,25.24,9.92,190.24
1264,"Carp, cooked, NS as to cooking method",9.85,18.22,15.11,248.27
1265,"Carp, baked or broiled, fat added",0.1,21.8,10.62,183.18
1266,"Carp, baked or broiled, no added fat",0.1,22.46,7.06,153.78
1267,"Carp, coated, baked or broiled, fat added",12.51,18.93,11.71,231.15
1268,"Carp, coated, baked or broiled, no added fat",13.1,19.82,6.23,187.75
1269,"Carp, coated, fried",9.85,18.22,15.11,248.27
1270,"Carp, steamed or poached",0.0,22.42,7.04,153.04
1271,"Carp, smoked",0.0,27.84,8.74,190.02
1272,"Catfish, cooked, NS as to cooking method",9.86,16.0,15.4,242.04
1273,"Catfish, baked or broiled, made with oil",0.1,18.62,11.04,174.24
1274,"Catfish, baked or broiled, made with butter",0.1,18.65,10.32,167.88
1275,"Catfish, baked or broiled, made with margarine",0.13,18.63,9.72,162.52
1276,"Catfish, baked or broiled, no added fat",0.1,19.18,7.48,144.44
1277,"Catfish, baked or broiled, made with cooking spray",0.2,19.11,7.85,147.89
1278,"Catfish, coated, baked or broiled, made with oil",12.51,16.5,12.02,224.22
1279,"Catfish, coated, baked or broiled, made with butter",12.51,16.55,10.94,214.7
1280,"Catfish, coated, baked or broiled, made with margarine",12.56,16.51,10.01,206.37
1281,"Catfish, coated, baked or broiled, no added fat",13.1,17.28,6.56,180.56
1282,"Catfish, coated, baked or broiled, made with cooking spray",13.14,17.23,6.85,183.13
1283,"Catfish, coated, fried, made with oil",9.85,16.0,15.4,242.0
1284,"Catfish, coated, fried, made with butter",9.86,16.07,13.75,227.47
1285,"Catfish, coated, fried, made with margarine",9.93,16.01,12.35,214.91
1286,"Catfish, coated, fried, no added fat",11.6,18.83,7.87,192.55
1287,"Catfish, coated, fried, made with cooking spray",11.64,18.77,8.16,195.08
1288,"Catfish, steamed or poached",0.0,19.15,7.47,143.83
1289,"Cod, cooked, NS as to cooking method",0.1,18.67,4.28,113.6
1290,"Cod, baked or broiled, made with oil",0.1,18.67,4.28,113.6
1291,"Cod, baked or broiled, made with butter",0.1,18.7,3.56,107.24
1292,"Cod, baked or broiled, made with margarine",0.13,18.68,2.96,101.88
1293,"Cod, baked or broiled, no added fat",0.1,19.24,0.52,82.04
1294,"Cod, baked or broiled, made with cooking spray",0.2,19.16,0.91,85.63
1295,"Cod, coated, baked or broiled, made with oil",12.51,16.54,6.87,178.03
1296,"Cod, coated, baked or broiled, made with butter",12.51,16.59,5.78,168.42
1297,"Cod, coated, baked or broiled, made with margarine",12.56,16.55,4.86,160.18
1298,"Cod, coated, baked or broiled, no added fat",13.1,17.32,1.16,132.12
1299,"Cod, coated, baked or broiled, made with cooking spray",13.14,17.27,1.46,134.78
1300,"Cod, coated, fried, made with oil",9.85,16.03,10.68,199.64
1301,"Cod, coated, fried, made with butter",9.86,16.1,9.03,185.11
1302,"Cod, coated, fried, made with margarine",9.93,16.05,7.63,172.59
1303,"Cod, coated, fried, no added fat",11.6,18.87,2.31,142.67
1304,"Cod, coated, fried, made with cooking spray",11.64,18.81,2.62,145.38
1305,"Cod, steamed or poached",0.0,19.2,0.52,81.48
1306,"Cod, dried, salted",0.0,62.82,2.37,272.61
1307,"Cod, dried, salted, salt removed in water",0.0,18.73,0.5,79.42
1308,"Cod, smoked",0.0,23.91,0.64,101.4
1309,"Croaker, cooked, NS as to cooking method",0.1,21.74,7.65,156.21
1310,"Croaker, baked or broiled, fat added",0.1,21.74,7.65,156.21
1311,"Croaker, baked or broiled, no added fat",0.1,22.4,4.0,126.0
1312,"Croaker, coated, baked or broiled, fat added",12.51,18.88,9.44,210.52
1313,"Croaker, coated, baked or broiled, no added fat",13.1,19.77,3.86,166.22
1314,"Croaker, coated, fried",9.85,18.17,13.03,229.35
1315,"Croaker, steamed or poached",0.0,22.36,3.99,125.35
1316,"Eel, cooked, NS as to cooking method",9.34,18.67,20.09,292.85
1317,"Eel, steamed or poached",0.0,23.19,14.66,224.7
1318,"Eel, smoked",0.0,28.73,18.17,278.45
1319,"Flounder, raw",0.0,12.41,1.93,67.01
1320,"Flounder, cooked, NS as to cooking method",9.86,13.59,11.98,201.62
1321,"Flounder, baked or broiled, made with oil",0.1,15.17,6.14,116.34
1322,"Flounder, baked or broiled, made with butter",0.1,15.21,5.42,110.02
1323,"Flounder, baked or broiled, made with margarine",0.13,15.18,4.82,104.62
1324,"Flounder, baked or broiled, no added fat",0.1,15.63,2.43,84.79
1325,"Flounder, baked or broiled, made with cooking spray",0.2,15.57,2.82,88.46
1326,"Flounder, coated, baked or broiled, made with oil",12.51,13.87,8.28,180.04
1327,"Flounder, coated, baked or broiled, made with butter",12.51,13.92,7.2,170.52
1328,"Flounder, coated, baked or broiled, made with margarine",12.56,13.88,6.27,162.19
1329,"Flounder, coated, baked or broiled, no added fat",13.1,14.52,2.65,134.33
1330,"Flounder, coated, baked or broiled, made with cooking spray",13.14,14.48,2.94,136.94
1331,"Flounder, coated, fried, made with oil",9.85,13.59,11.98,201.58
1332,"Flounder, coated, fried, made with butter",9.86,13.66,10.33,187.05
1333,"Flounder, coated, fried, made with margarine",9.93,13.6,8.93,174.49
1334,"Flounder, coated, fried, no added fat",11.6,15.99,3.84,144.92
1335,"Flounder, coated, fried, made with cooking spray",11.64,15.94,4.14,147.58
1336,"Flounder, steamed or poached",0.0,15.61,2.43,84.31
1337,"Flounder, smoked",0.0,29.98,4.66,161.86
1338,"Haddock, cooked, NS as to cooking method",0.1,19.93,4.33,119.09
1339,"Haddock, baked or broiled, fat added",0.1,19.93,4.33,119.09
1340,"Haddock, baked or broiled, no added fat",0.1,20.53,0.57,87.65
1341,"Haddock, coated, baked or broiled, fat added",12.51,17.5,6.9,182.14
1342,"Haddock, coated, baked or broiled, no added fat",13.1,18.32,1.2,136.48
1343,"Haddock, coated, fried",9.85,16.91,10.71,203.43
1344,"Haddock, steamed or poached",0.0,20.5,0.57,87.13
1345,"Haddock, smoked",0.0,25.23,0.96,109.56
1346,"Halibut, raw",0.0,18.56,1.33,86.21
1347,"Halibut, cooked, NS as to cooking method",0.1,22.69,5.4,139.76
1348,"Halibut, baked or broiled, made with oil",0.1,22.69,5.4,139.76
1349,"Halibut, baked or broiled, made with butter",0.1,22.72,4.69,133.49
1350,"Halibut, baked or broiled, made with margarine",0.13,22.7,4.08,128.04
1351,"Halibut, baked or broiled, no added fat",0.1,23.38,1.68,109.04
1352,"Halibut, baked or broiled, made with cooking spray",0.2,23.29,2.06,112.5
1353,"Halibut, coated, baked or broiled, made with oil",12.51,19.61,7.73,198.05
1354,"Halibut, coated, baked or broiled, made with butter",12.51,19.66,6.64,188.44
1355,"Halibut, coated, baked or broiled, made with margarine",12.56,19.62,5.71,180.11
1356,"Halibut, coated, baked or broiled, no added fat",13.1,20.53,2.06,153.06
1357,"Halibut, coated, baked or broiled, made with cooking spray",13.14,20.47,2.36,155.68
1358,"Halibut, coated, fried, made with oil",9.85,18.84,11.46,217.9
1359,"Halibut, coated, fried, made with butter",9.86,18.91,9.82,203.46
1360,"Halibut, coated, fried, made with margarine",9.93,18.85,8.42,190.9
1361,"Halibut, coated, fried, no added fat",11.6,22.17,3.24,164.24
1362,"Halibut, coated, fried, made with cooking spray",11.64,22.1,3.54,166.82
1363,"Halibut, steamed or poached",0.0,23.34,1.67,108.39
1364,"Halibut, smoked",0.0,44.61,3.2,207.24
1365,"Herring, raw",0.0,17.96,9.04,153.2
1366,"Herring, cooked, NS as to cooking method",0.1,21.96,14.83,221.71
1367,"Herring, baked or broiled, fat added",0.1,21.96,14.83,221.71
1368,"Herring, baked or broiled, no added fat",0.1,22.62,11.39,193.39
1369,"Herring, coated, baked or broiled, fat added",12.51,19.05,14.92,260.52
1370,"Herring, coated, baked or broiled, no added fat",13.1,19.94,9.59,218.47
1371,"Herring, coated, fried",9.85,18.33,18.04,275.08
1372,"Herring, pickled, in cream sauce",8.59,11.73,18.28,245.8
1373,"Herring, dried, salted",0.0,55.71,28.04,475.2
1374,"Herring, pickled",9.64,14.19,18.0,257.32
1375,"Herring, smoked, kippered",0.0,24.58,12.37,209.65
1376,"Mackerel, raw",0.0,19.08,11.91,183.51
1377,"Mackerel, cooked, NS as to cooking method",0.1,23.34,18.3,258.46
1378,"Mackerel, baked or broiled, fat added",0.1,23.34,18.31,258.55
1379,"Mackerel, baked or broiled, no added fat",0.1,24.05,14.98,231.42
1380,"Mackerel, coated, baked or broiled, fat added",12.51,20.1,17.57,288.57
1381,"Mackerel, coated, baked or broiled, no added fat",13.09,21.05,12.37,247.89
1382,"Mackerel, coated, fried",9.85,19.29,20.47,300.79
1383,"Mackerel, pickled",4.02,11.07,17.33,216.33
1384,"Mackerel, canned",0.0,23.19,6.3,149.46
1385,"Mackerel, smoked",0.0,25.54,10.04,192.52
1386,"Mullet, raw",0.0,19.35,3.79,111.51
1387,"Mullet, cooked, NS as to cooking method",9.86,19.51,13.56,239.52
1388,"Mullet, baked or broiled, fat added",0.1,23.66,8.41,170.73
1389,"Mullet, baked or broiled, no added fat",0.1,24.37,4.78,140.9
1390,"Mullet, coated, baked or broiled, fat added",12.51,20.34,10.02,221.58
1391,"Mullet, coated, baked or broiled, no added fat",13.1,21.3,4.46,177.74
1392,"Mullet, coated, fried",9.85,19.51,13.56,239.48
1393,"Mullet, steamed or poached",0.0,24.33,4.77,140.25
1394,"Ocean perch, raw",0.0,15.31,1.54,75.1
1395,"Ocean perch, cooked, NS as to cooking method",0.1,18.72,5.66,126.22
1396,"Ocean perch, baked or broiled, fat added",0.1,18.72,5.66,126.22
1397,"Ocean perch, baked or broiled, no added fat",0.1,19.29,1.94,95.02
1398,"Ocean perch, coated, baked or broiled, fat added",12.51,16.58,7.92,187.64
1399,"Ocean perch, coated, baked or broiled, no added fat",13.1,17.36,2.27,142.27
1400,"Ocean perch, coated, fried",9.85,16.07,11.64,208.44
1401,"Ocean perch, steamed or poached",0.0,19.25,1.94,94.46
1402,"Perch, cooked, NS as to cooking method",9.86,19.55,11.11,217.63
1403,"Perch, baked or broiled, made with oil",0.1,23.71,4.9,139.34
1404,"Perch, baked or broiled, made with butter",0.1,23.74,4.19,133.07
1405,"Perch, baked or broiled, made with margarine",0.13,23.71,3.58,127.58
1406,"Perch, baked or broiled, no added fat",0.1,24.42,1.16,108.52
1407,"Perch, baked or broiled, made with cooking spray",0.2,24.33,1.55,112.07
1408,"Perch, coated, baked or broiled, made with oil",12.51,20.38,7.34,197.62
1409,"Perch, coated, baked or broiled, made with butter",12.51,20.43,6.26,188.1
1410,"Perch, coated, baked or broiled, made with margarine",12.56,20.39,5.33,179.77
1411,"Perch, coated, baked or broiled, no added fat",13.1,21.34,1.66,152.7
1412,"Perch, coated, baked or broiled, made with cooking spray",13.14,21.28,1.96,155.32
1413,"Perch, coated, fried, made with oil",9.85,19.55,11.11,217.59
1414,"Perch, coated, fried, made with butter",9.86,19.62,9.47,203.15
1415,"Perch, coated, fried, made with margarine",9.93,19.56,8.07,190.59
1416,"Perch, coated, fried, no added fat",11.6,23.0,2.82,163.78
1417,"Perch, coated, fried, made with cooking spray",11.64,22.94,3.13,166.49
1418,"Perch, steamed or poached",0.0,24.38,1.16,107.96
1419,"Pike, cooked, NS as to cooking method",13.87,19.15,11.13,232.25
1420,"Pike, baked or broiled, fat added",0.1,23.55,4.62,136.18
1421,"Pike, baked or broiled, no added fat",0.1,24.26,0.87,105.27
1422,"Pike, coated, baked or broiled, fat added",12.51,20.26,7.13,195.25
1423,"Pike, coated, baked or broiled, no added fat",13.1,21.21,1.44,150.2
1424,"Pike, coated, fried",9.85,19.44,10.92,215.44
1425,"Pike, steamed or poached",0.0,24.22,0.87,104.71
1426,"Pompano, raw",0.0,18.48,9.47,159.15
1427,"Pompano, cooked, NS as to cooking method",0.1,22.59,15.35,228.91
1428,"Pompano, baked or broiled, fat added",0.1,22.59,15.35,228.91
1429,"Pompano, baked or broiled, no added fat",0.1,23.28,11.93,200.89
1430,"Pompano, coated, baked or broiled, fat added",12.51,19.53,15.32,266.04
1431,"Pompano, coated, baked or broiled, no added fat",13.1,20.45,10.01,224.29
1432,"Pompano, coated, fried",9.85,18.77,18.41,280.17
1433,"Pompano, steamed or poached",0.0,23.24,11.91,200.15
1434,"Pompano, smoked",0.0,21.58,11.06,185.86
1435,"Porgy, raw",0.0,18.88,2.73,100.09
1436,"Porgy, cooked, NS as to cooking method",0.1,23.08,7.11,156.71
1437,"Porgy, baked or broiled, fat added",0.1,23.08,7.11,156.71
1438,"Porgy, baked or broiled, no added fat",0.1,23.78,3.44,126.48
1439,"Porgy, coated, baked or broiled, fat added",12.51,19.91,9.03,210.95
1440,"Porgy, coated, baked or broiled, no added fat",13.1,20.84,3.43,166.63
1441,"Porgy, coated, fried",9.85,19.11,12.66,229.78
1442,"Porgy, steamed or poached",0.0,23.74,3.43,125.83
1443,"Ray, cooked, NS as to cooking method",0.1,25.65,9.29,186.61
1444,"Ray, baked or broiled, fat added",0.1,25.65,9.29,186.61
1445,"Ray, baked or broiled, no added fat",0.1,26.43,5.68,157.24
1446,"Ray, coated, baked or broiled, fat added",12.51,21.86,10.69,233.69
1447,"Ray, coated, baked or broiled, no added fat",13.1,22.89,5.17,190.49
1448,"Ray, coated, fried",9.85,20.9,14.18,250.62
1449,"Ray, steamed or poached",0.0,26.38,5.67,156.55
1450,"Salmon, raw",0.0,20.5,4.4,121.6
1451,"Salmon, cooked, NS as to cooking method",0.1,25.06,9.15,182.99
1452,"Salmon, baked or broiled, made with oil",0.1,25.06,9.15,182.99
1453,"Salmon, baked or broiled, made with butter",0.1,25.09,8.44,176.72
1454,"Salmon, baked or broiled, made with margarine",0.13,25.07,7.84,171.36
1455,"Salmon, baked or broiled, no added fat",0.1,25.82,5.54,153.54
1456,"Salmon, baked or broiled, made with cooking spray",0.2,25.72,5.92,156.96
1457,"Salmon, coated, baked or broiled, made with oil",12.51,21.42,10.59,231.03
1458,"Salmon, coated, baked or broiled, made with butter",12.51,21.47,9.5,221.42
1459,"Salmon, coated, baked or broiled, made with margarine",12.56,21.43,8.58,213.18
1460,"Salmon, coated, baked or broiled, no added fat",13.1,22.42,5.06,187.62
1461,"Salmon, coated, baked or broiled, made with cooking spray",13.14,22.36,5.35,190.15
1462,"Salmon, coated, fried, made with oil",9.85,20.5,14.08,248.12
1463,"Salmon, coated, fried, made with butter",9.86,20.57,12.44,233.68
1464,"Salmon, coated, fried, made with margarine",9.93,20.51,11.04,221.12
1465,"Salmon, coated, fried, no added fat",11.6,24.12,6.32,199.76
1466,"Salmon, coated, fried, made with cooking spray",11.64,24.05,6.61,202.25
1467,"Salmon, steamed or poached",0.0,25.78,5.53,152.89
1468,"Salmon, dried",0.0,64.06,13.75,379.99
1469,"Salmon, canned",0.0,20.55,5.48,131.52
1470,"Salmon, smoked",0.0,18.28,4.32,112.0
1471,"Sardines, cooked",0.0,24.62,11.45,201.53
1472,"Sardines, dried",0.0,46.06,23.18,392.86
1473,"Sardines, canned in oil",0.0,24.62,11.45,201.53
1474,"Sardines, skinless, boneless, packed in water",0.54,20.86,10.45,179.65
1475,"Sea bass, cooked, NS as to cooking method",0.1,22.53,6.22,146.5
1476,"Sea bass, baked or broiled, fat added",0.1,22.53,6.22,146.5
1477,"Sea bass, baked or broiled, no added fat",0.1,23.22,2.52,115.96
1478,"Sea bass, coated, baked or broiled, fat added",12.51,19.49,8.35,203.15
1479,"Sea bass, coated, baked or broiled, no added fat",13.1,20.4,2.72,158.48
1480,"Sea bass, coated, fried",9.85,18.73,12.04,222.68
1481,"Sea bass, steamed or poached",0.0,23.18,2.52,115.4
1482,"Sea bass, pickled",4.02,10.98,10.56,155.04
1483,"Shark, cooked, NS as to cooking method",0.1,25.65,9.29,186.61
1484,"Shark, baked or broiled, fat added",0.1,25.65,9.29,186.61
1485,"Shark, baked or broiled, no added fat",0.1,26.43,5.68,157.24
1486,"Shark, coated, baked or broiled, fat added",12.51,21.86,10.69,233.69
1487,"Shark, coated, baked or broiled, no added fat",13.1,22.89,5.17,190.49
1488,"Shark, coated, fried",9.85,20.9,14.18,250.62
1489,"Shark, steamed or poached",0.0,26.38,5.67,156.55
1490,"Sturgeon, cooked, NS as to cooking method",0.1,19.73,8.71,157.71
1491,"Sturgeon, baked or broiled, fat added",0.1,19.73,8.71,157.71
1492,"Sturgeon, steamed",0.0,20.3,5.08,126.92
1493,"Sturgeon, coated, fried",9.85,16.77,13.78,230.5
1494,"Sturgeon, smoked",0.0,31.2,4.4,164.4
1495,"Swordfish, cooked, NS as to cooking method",0.1,24.04,11.9,203.66
1496,"Swordfish, baked or broiled, fat added",0.1,24.04,11.9,203.66
1497,"Swordfish, baked or broiled, no added fat",0.1,24.76,8.38,174.86
1498,"Swordfish, coated, baked or broiled, fat added",12.51,20.63,12.69,246.77
1499,"Swordfish, coated, baked or broiled, no added fat",13.1,21.6,7.26,204.14
1500,"Swordfish, coated, fried",9.85,19.78,16.0,262.52
1501,"Swordfish, steamed or poached",0.0,24.72,8.36,174.12
1502,"Trout, cooked, NS as to cooking method",0.1,24.38,11.33,199.89
1503,"Trout, baked or broiled, made with oil",0.1,24.38,11.33,199.89
1504,"Trout, baked or broiled, made with butter",0.1,24.41,10.62,193.62
1505,"Trout, baked or broiled, made with margarine",0.13,24.38,10.01,188.13
1506,"Trout, baked or broiled, no added fat",0.1,25.12,7.79,170.99
1507,"Trout, baked or broiled, made with cooking spray",0.2,25.02,8.15,174.23
1508,"Trout, coated, baked or broiled, made with oil",12.51,20.9,12.25,243.89
1509,"Trout, coated, baked or broiled, made with butter",12.51,20.94,11.16,234.24
1510,"Trout, coated, baked or broiled, made with margarine",12.56,20.9,10.24,226.0
1511,"Trout, coated, baked or broiled, no added fat",13.1,21.88,6.8,201.12
1512,"Trout, coated, baked or broiled, made with cooking spray",13.14,21.81,7.08,203.52
1513,"Trout, coated, fried, made with oil",9.85,20.02,15.6,259.88
1514,"Trout, coated, fried, made with butter",9.86,20.09,13.96,245.44
1515,"Trout, coated, fried, made with margarine",9.93,20.03,12.56,232.88
1516,"Trout, coated, fried, no added fat",11.6,23.56,8.11,213.63
1517,"Trout, coated, fried, made with cooking spray",11.64,23.49,8.4,216.12
1518,"Trout, steamed or poached",0.0,25.08,7.77,170.25
1519,"Trout, smoked",0.0,35.47,10.99,240.79
1520,"Tuna, fresh, raw",0.0,24.4,0.49,102.01
1521,"Tuna, fresh, cooked, NS as to cooking method",0.1,29.83,4.38,159.14
1522,"Tuna, fresh, baked or broiled, fat added",0.1,29.83,4.38,159.14
1523,"Tuna, fresh, baked or broiled, no added fat",0.1,30.73,0.62,128.9
1524,"Tuna, fresh, coated, baked or broiled, fat added",12.51,25.05,6.94,212.7
1525,"Tuna, fresh, coated, baked or broiled, no added fat",13.1,26.23,1.24,168.48
1526,"Tuna, fresh, coated, fried",9.85,23.82,10.75,231.43
1527,"Tuna, fresh, steamed or poached",0.0,30.68,0.62,128.3
1528,"Tuna, fresh, dried",0.0,76.25,1.53,318.77
1529,"Tuna, fresh, smoked",0.0,25.54,10.04,192.52
1530,"Tuna, canned, NS as to oil or water pack",0.08,19.0,0.94,84.78
1531,"Tuna, canned, oil pack",0.0,29.13,8.21,190.41
1532,"Tuna, canned, water pack",0.08,19.0,0.94,84.78
1533,"Whiting, cooked, NS as to cooking method",9.86,18.62,11.44,216.88
1534,"Whiting, baked or broiled, made with oil",0.1,22.39,5.38,138.38
1535,"Whiting, baked or broiled, made with butter",0.1,22.42,4.66,132.02
1536,"Whiting, baked or broiled, made with margarine",0.13,22.39,4.06,126.62
1537,"Whiting, baked or broiled, no added fat",0.1,23.06,1.65,107.49
1538,"Whiting, baked or broiled, made with cooking spray",0.2,22.98,2.04,111.08
1539,"Whiting, coated, baked or broiled, made with oil",12.51,19.38,7.71,196.95
1540,"Whiting, coated, baked or broiled, made with butter",12.51,19.42,6.62,187.3
1541,"Whiting, coated, baked or broiled, made with margarine",12.56,19.38,5.69,178.97
1542,"Whiting, coated, baked or broiled, no added fat",13.1,20.28,2.04,151.88
1543,"Whiting, coated, baked or broiled, made with cooking spray",13.14,20.23,2.34,154.54
1544,"Whiting, coated, fried, made with oil",9.85,18.62,11.45,216.93
1545,"Whiting, coated, fried, made with butter",9.86,18.7,9.8,202.44
1546,"Whiting, coated, fried, made with margarine",9.93,18.64,8.4,189.88
1547,"Whiting, coated, fried, no added fat",11.6,21.92,3.22,163.06
