,Сливочное масло с солью,717,0.85,81.11,0.06
579,"Детское питание, кукуруза и сладкий картофель в процеженном виде",68,1.26,0.28,15.23
580,"Натуральная форма, abbo nutrition, simil, aliment, advan, готовая к употреблению, с ara и dha",67,1.8,3.63,6.77
581,"Детское питание для новорожденных inf, pbm product, sto bra, готовое к употреблению (ранее wyeth-ayerst)",63,1.4,3.5,6.39
582,"Форма Inf, pbm prod, торговая марка магазина, lc, не rec (форма wyeth-ayerst)",130,2.9,7.0,13.9
583,"Inf детское питание для младенцев inf inf inf, продукты pbm, торговая марка, порошкообразное",524,12.0,28.0,56.0
584,"Inf детское питание для младенцев inf inf inf, продукты pbm, торговая марка, соя, готовое к употреблению",63,1.8,3.5,6.09
585,"Информ-форма, пбм-продукт, магазинный бр, соя, жидкий концентрат, не восстановленный",126,3.6,7.0,12.18
586,"Inf детское питание для младенцев inf inf inf, продукты pbm, торговая марка, соевый порошок",508,13.6,27.2,52.2
587,"Молочные смеси для новорожденных inf inf inf, мид джонс, энфами, ar lipil, готовые к употреблению, с ara и dha",68,1.71,3.49,7.53
588,"Молочная смесь для новорожденных inf inf inf, mea johnso, enfami, ar lipil, порошкообразная, с ara и dha",509,12.73,25.97,56.03
589,"Натуральная форма, орех аббат, simil neosu, готовый к употреблению, с ara и dha",69,1.92,3.77,6.94
590,"Молочные смеси для младенцев inf, abbott, similac, neosure, порошкообразные, с ara и dha",520,14.42,28.33,51.75
591,"Готовые к употреблению молочные смеси для младенцев inf, abb nutrition, simi, sens (лактоза) с ara и dha",68,1.48,3.74,7.4
592,"Молочная смесь для младенцев inf inf inf, abb nut, simil, sens, (лакто-частично обжаренный пар), жидкий con, с ar и dh",128,2.73,6.95,13.64
593,"Молочная смесь для младенцев inf inf inf, abb nutrition, simil, sens, (лакто частично обжаренный пар), pd, с ara и dh",520,11.13,28.14,55.67
594,"Молочные смеси для новорожденных inf inf inf, abbott nutrition, similac, advance, с железом, готовые к употреблению",66,1.36,3.7,6.77
595,"Молочная смесь для новорожденных inf inf inf, abbott nutrition, similac, advanc, с железом, порошкообразная, не восстановленная",522,10.89,28.87,54.73
596,"Информ, abbo nutrition, симилак, адван, с железом, жидкий концентрат, не восстановленный",127,2.64,6.89,13.52
597,"Детское питание для младенцев inf, abb nutrition, симил, изомил, адва с железом, жидкий концентрат",128,3.13,6.98,13.21
598,"Молочные смеси для новорожденных inf inf inf, abbo nutrition, simil, isomil, advance с железом, готовые к употреблению",66,1.61,3.59,6.7
599,"Inf детское питание для новорожденных inf inf inf, abb nutrition, simi, isomi, advan с iro, pd, не rec",517,12.6,28.09,53.57
600,"Молочные смеси для новорожденных inf inf inf, мид джонсон, энфамил, enfacare lipil, готовые к употреблению, ara и dha",71,2.0,3.8,7.4
601,"Детское питание, йог, цельное молоко, с фруктами, многоразовыми хлопьями и добавлением обогащенных ДГК",98,3.4,3.53,13.22
602,"Inf form, abbott, alimentum advance, железо в порошке, notrec, dha и ara",517,13.99,28.19,51.91
603,Детское питание с картофельным пюре чеддер и брокколи для малышей,48,1.11,1.47,7.47
604,"Молочная смесь для новорожденных inf inf inf, nestle, good start supreme, с железом, dha и ara, готовая к употреблению.",66,1.45,3.37,7.39
605,"Inf form, nestle, good start supreme, железо, dha и ara, prp, частично обжаренный par lc",66,1.45,3.37,7.39
606,"Информ, медджонсон, энфамил, смягчающий липил, с железом, prepfrpdr",63,1.52,3.5,6.39
607,"Детское питание, обогащенный зерновой батончик, фруктовая начинка",344,5.43,5.3,68.63
608,"Детское питание, йогурт, цельное молоко с фруктами, каши multigra и добавлением железа",92,3.05,3.08,13.0
609,"Молочная смесь для младенцев inf inf inf, nestle, соя good start, с dha и ara, жидкий концентрат",132,3.31,6.67,14.71
610,"Форма для малышей, me john, enfa, prem (форма для малышей, lipil, следующий шаг), порошкообразный",501,13.0,26.9,56.0
611,"Детское питание для малышей inf inf inf, mead johnson, enfagrow premium, готовое к употреблению",64,1.78,3.63,7.18
612,"Молочная смесь для новорожденных inf inf inf, мид джонсон, энфамил, джентлиз, порошкообразная",514,11.8,27.0,56.0
613,"Молочные смеси для новорожденных inf inf inf, мид джонс, энфамил, энфагроу, джентлеа, тод, готовые к употреблению",66,1.71,3.5,6.9
614,"Молочная смесь для младенцев inf inf inf, мид джонсон, энфамил, энфагроу, соя, готовая к употреблению для малышей",65,2.17,2.89,7.64
615,"Молочная смесь для новорожденных inf inf inf, мид джонсон, энфамил, нутрамиген аа, готовая к употреблению.",66,1.84,3.48,6.76
616,"Молочная смесь для новорожденных inf inf inf, мид джонсон, энфамил, для недоношенных, 20 калорий, калорийность в готовом виде",66,1.97,3.34,7.21
617,"Молочная смесь для новорожденных inf inf inf, мид джонсон, энфамил, для недоношенных, 24 кало, готовая к употреблению",67,1.97,3.34,7.19
618,"Молочная смесь для новорожденных inf inf inf, мид джонсон, энфамил, премиум, для новорожденных, готовая к употреблению",66,1.38,3.48,7.39
619,"Молочная смесь для младенцев inf inf inf, gerber, good start 2 соевая, с железом, готовая к употреблению",65,1.84,3.28,7.15
620,"Детское питание для новорожденных inf inf inf, gerber, good start, protect plus, готовое к употреблению",65,1.44,3.36,7.17
621,"Молочная смесь для новорожденных inf inf inf, gerber good start 2, gentle plus, готовая к употреблению",66,1.44,3.34,7.61
622,"Детское питание для новорожденных inf inf inf, gerber, good start 2, protect plus, готовое к употреблению",66,1.44,3.37,7.39
623,"Молочные смеси для новорожденных inf, abbo nu, simil, go и gr, готовые к употреблению, с ara и dha",66,1.97,3.54,6.69
624,"Инструкция, abbo nutrition, simil, экспертный уход, диарея",66,1.76,3.6,6.67
625,"Молочная смесь для новорожденных inf inf inf, abbo nutrition, simil, для отрыгивания, готовая к употреблению, с ara и dha",66,1.4,3.54,7.19
626,"Малышка, фру, бан и строу, джу",109,0.71,0.37,25.78
627,"Babyfoo, бан ви микс берр, ул.",92,1.01,0.36,21.31
628,"Детское питание, многозерновые цельнозерновые хлопья, сухие обогащенные",407,6.67,6.67,80.06
629,"Детское питание, рисовое печенье baby mum для мамы",391,12.5,0.87,83.21
630,"Babyfd, snk, ge, grad, lil crunch, запеченный, whlgrn, кукурузный snk",503,0.0,28.57,61.59
631,"Детское питание для младенцев inf inf inf, abbott nutrit, similac, от отрыжки, pow",514,11.0,27.75,55.0
632,"Жир, говяжий жир",902,0.0,100.0,0.0
633,Свиное сало,902,0.0,100.0,0.0
634,"Заправка для салата, крафт-майонез легкий майонез",334,0.6,32.9,8.5
635,"Заправка для салата, крафт-майонез обезжиренная майонезная заправка",64,0.2,0.0,15.8
636,"Заправка для салата, нежирная заправка kraft miracle whip free",84,0.2,2.7,15.5
637,"Заправка для салата, русская заправка",355,0.69,26.18,31.9
638,"Заправка для салата, обычная заправка из семян кунжута",443,3.1,45.2,8.6
639,"Заправка для салата ""тысяча островов"", коммерческая, обычная",379,1.09,35.06,14.64
640,"Заправка для салата, типа майонеза, обычная, с солью",250,0.65,21.6,14.78
641,"Заправка для салата, французская заправка с пониженным содержанием жира",222,0.58,11.52,31.22
642,"Заправка для салата, итальянская заправка, коммерческая, с пониженным содержанием жира",102,0.39,6.68,9.99
643,"Заправка для салата, русская заправка, низкокалорийная, калорийность",141,0.5,4.0,27.6
644,"Заправка для салата, заправка ""тысяча островов"" с пониженным содержанием жира",195,0.83,11.32,24.06
645,"Заправка для салата, обычный майонез",680,0.96,74.85,0.57
646,"Заправка для салата, майонез, соевое и сафлоровое масла, с солью",717,1.1,79.4,2.7
647,"Заправка для салата, имитация майонеза, соевая",232,0.3,19.2,16.0
648,"Заправка для салата, майонез, имитация, молочный крем",97,2.1,5.1,11.1
649,"Заправка для салата, имитация майонеза, соя без холестерина",482,0.1,47.7,15.8
650,"Намазка для бутерброда с нарезанным маринованным огурцом, обычным растительным маслом без указания",389,0.9,34.0,22.4
651,"Шортенинговое, домашнее, частично гидрогенизированное соево -хлопковое семя",884,0.0,100.0,0.0
652,"Масло соевое, салатное или кулинарное (частично гидрогенизированное)",884,0.0,100.0,0.0
653,"Масло, рисовые отруби",884,0.0,100.0,0.0
654,Масло из зародышей пшеницы,884,0.0,100.0,0.0
655,"Масло, арахис, салат или кулинарные изделия",884,0.0,100.0,0.0
656,"Масло, соя, для салата или приготовления пищи",884,0.0,100.0,0.0
657,Масло кокосовое,892,0.0,99.06,0.0
658,Масло оливковое для салата или приготовления пищи,884,0.0,100.0,0.0
659,Масло пальмовое,884,0.0,100.0,0.0
660,"Масло, кунжут, для салата или приготовления пищи",884,0.0,100.0,0.0
661,"Масло подсолнечное, линолевое (менее 60%)",884,0.0,100.0,0.0
662,"Маргарин обычный, твердый, соевый (гидрогенизированный)",719,0.9,80.5,0.9
663,"Заправка для салата, итальянская заправка, коммерческая, обычная",240,0.41,21.12,12.12
664,"Заправка для салата, французская заправка, коммерческая, обычная",457,0.77,44.81,15.58
665,"Спред на растительном масле, неуказанные масла, примерно 37% жирности, с солью",339,0.51,37.77,0.66
666,"Заправка для салата по-французски, домашний рецепт",631,0.1,70.2,3.4
667,"Заправка для салата, домашний рецепт, уксус и масло",449,0.0,50.1,2.5
668,"Заправка для салата, французская заправка, коммерческая, обычная, без соли",459,0.77,44.81,15.58
669,"Заправка для салата по-французски с пониженным содержанием жира, без соли",233,0.58,13.46,29.28
670,"Заправка для салата, итальянская заправка, коммерческая, обычная, без соли",292,0.38,28.37,10.43
671,"Заправка для салата, итальянская заправка с пониженным содержанием жира, без соли",76,0.47,6.38,4.57
672,"Заправка для салата, майонез, соевое масло, без соли",717,1.1,79.4,2.7
673,"Заправка для салата по-французски, хлопковое семя, масло, домашний рецепт",631,0.1,70.2,3.4
674,"Заправка для салата, французская заправка, без жира",132,0.2,0.27,32.14
675,"Растительное масло, масло какао",884,0.0,100.0,0.0
676,"Масло, хлопковое семя, для салата или приготовления пищи",884,0.0,100.0,0.0
677,"Масло подсолнечное, линолевое (около 65%)",884,0.0,100.0,0.0
678,"Масло сафлоровое, салатное или кулинарное, линолевое (более 70%)",884,0.0,100.0,0.0
679,Масло сафлоровое для салата или приготовления пищи с высоким содержанием олеиновой кислоты,884,0.0,100.0,0.0
680,Растительное пальмоядровое масло,862,0.0,100.0,0.0
681,Масло из семян мака,884,0.0,100.0,0.0
682,Масло из семян томатов,884,0.0,100.0,0.0
683,Масло чайное,884,0.0,100.0,0.0
684,Масло из виноградных косточек,884,0.0,100.0,0.0
685,"Растительное масло, кукуруза, промышленное и розничное, универсальные салаты или для приготовления пищи",900,0.0,100.0,0.0
686,"Жир, бараний жир",902,0.0,100.0,0.0
687,Масло грецкого ореха,884,0.0,100.0,0.0
688,Масло миндальное,884,0.0,100.0,0.0
689,Масло с абрикосовыми косточками,884,0.0,100.0,0.0
690,"Масло, соевый лецитин",763,0.0,100.0,0.0
691,Масло фундука,884,0.0,100.0,0.0
692,"Масло, бабассу",884,0.0,100.0,0.0
693,"Масло, ореховый шафран",884,0.0,100.0,0.0
694,"Заправка для салата с голубой карамелью или сыром рокфор, коммерческая, обычная",484,1.37,51.1,4.77
695,"Масло, купу ассу",884,0.0,100.0,0.0
696,Жир куриный,900,0.0,99.8,0.0
697,"Масло соевое, салатное или кулинарное (частично гидрогенизированное) и хлопковое",884,0.0,100.0,0.0
698,"Шортенинговое, хозяйственное, свиное и растительное сало, растительное масло",900,0.0,100.0,0.0
699,"Масло подсолнечное, линолевое (частично гидрогенизированное)",884,0.0,100.0,0.0
700,"Шортенинговый хлеб, соя (гидрогенизированная) и хлопковое семя",884,0.0,100.0,0.0
701,"Шортенинговая смесь для жмыха, соя (гидрогенизированная) и хлопковое семя (гидрогенизированное)",884,0.0,100.0,0.0
702,"Шортенинг промышленный, свиное сало и растительное, растительное масло",900,0.0,100.0,0.0
703,Шортенинговая обжарка (интенсивная) с говяжьим жиром и хлопковым семенем,900,0.0,100.0,0.0
704,"Шортенинговые кондитерские изделия, кокосовая стружка (гидрогенизированная) и/или пальмоядровые косточки (гидрогенизированные)",884,0.0,100.0,0.0
705,Шортенинг промышленный для сои (гидрогенизированной) и семян хлопчатника,884,0.0,100.0,0.0
706,"Шортенинговая обжарка (интенсивная), пальмовая (гидрогенизированная)",884,0.0,100.0,0.0
707,Сокращение срока годности домашней сои (гидрогенизированной) и пальмового масла,884,0.0,100.0,0.0
708,"Ускоряющая обжаривание сверхпрочная, гидрогенизированная соя, линолевая кислота (менее 1%",884,0.0,100.0,0.0
709,"Шортенинговое кондитерское изделие, фракционированная пальма",884,0.0,100.0,0.0
710,"Масло, сливочное с мускатным орехом",884,0.0,100.0,0.0
711,"Масло, сливочное масло учухуба",884,0.0,100.0,0.0
712,Жирная утка,882,0.0,99.8,0.0
713,Жир индейки,900,0.0,99.8,0.0
714,Жир гусиный,900,0.0,99.8,0.0
715,Масло из авокадо,884,0.0,100.0,0.0
716,Масло рапсовое,884,0.0,100.0,0.0
717,"Масло, горчица",884,0.0,100.0,0.0
718,Масло подсолнечное с высоким содержанием олеиновой кислоты (70% и более),884,0.0,100.0,0.0
719,"Похожая на маргарин смесь маргарина и сливочного масла, соевое масло и сливочное масло",727,0.31,80.32,0.77
720,"Шортенинг, специального назначения для тортов и глазури, соевый (гидрогенизированный)",884,0.0,100.0,0.0
721,"Шортенинг для выпечки из соевых (гидрогенизированных) семян пальмы и хлопка, специального назначения",884,0.0,100.0,0.0
722,Масло овсяное,884,0.0,100.0,0.0
723,"Рыбий жир, печень трески",902,0.0,100.0,0.0
724,"Рыбий жир, сельдь",902,0.0,100.0,0.0
725,"Рыбий жир, менхаден",902,0.0,100.0,0.0
726,"Рыбий жир, менхаден, полностью гидрогенизированный",902,0.0,100.0,0.0
727,"Рыбий жир, лосось",902,0.0,100.0,0.0
728,"Рыбий жир, сардины",902,0.0,100.0,0.0
729,"Сокращающий, универсальный, соевый (гидрогенизированный) и пальмовый (гидрогенизированный)",884,0.0,100.0,0.0
730,"Похожий на маргарин, растительный, растительное масло-сливочный спред, в виде рулета, с солью",362,1.0,40.0,1.0
731,"Сливочное масло, легкое, на палочке, с солью",499,3.3,55.1,0.0
732,"Сливочное масло, легкое, прилипающее, без соли",499,3.3,55.1,0.0
733,"Мясная начинка (свиное сало, говяжий жир, бараний жир)",889,0.0,98.59,0.0
734,"Животный жир, сало для бекона",897,0.0,99.5,0.0
735,"Маргарин обычный, 80% жирности, комбинированный, палочка, с солью",717,0.16,80.71,0.7
736,"Маргарин обычный, 80% жирности, комбинированный, в банках, с солью",713,0.22,80.17,0.75
737,"Похожий на маргарин, растительный, растительно-масляный спред, 60% жирности, палочка, с солью",537,0.12,60.39,0.69
738,"Похожий на маргарин, растительный, растительно-масляный спред, 60% жирности, в виде рулета, с солью",533,0.17,59.81,0.86
739,"Похожий на маргарин, растительный, намазанный растительным маслом, 60% жирности, в баночке/баночке/бутылке, с солью",526,0.6,59.17,0.0
740,"Шортенинг, овощной, овощеводческий, бытовой, композитный",884,0.0,99.97,0.0
741,"Маргарин обычный, 80% жирности, составной, палочка, без соли",717,0.16,80.71,0.7
742,"Маргарин обычный, 80% жирности, комбинированный, в банках, без соли",713,0.22,80.17,0.75
743,"Спред с растительным маслом, 60% жирности, в баночке/ бутылочке, без соли",533,0.17,59.81,0.86
744,"Похожий на маргарин, растительный, растительно-масляный спред, обезжиренный, жидкий, с солью",43,1.5,3.0,2.5
745,"Намазать на йогурт, похожий на маргарин, 70% жирности, на палочке, с солью",630,0.3,70.0,0.5
746,"Намазка, похожая на маргарин, с йогуртом, примерно 40% жирности, с солью",330,2.0,35.0,2.0
747,"Маргарин 80% жирности в стике, включающий обычное и гидрогенизированное кукурузное и соевое масла",717,0.16,80.71,0.7
748,"Маргарин растительный, спред на растительном масле 70% жирности, соевый и частично гидрогенизированный соевый, палочка",628,0.26,70.22,1.53
749,"Маргариновый спред, примерно 48% жирности, в виде трубочки",424,0.2,47.53,0.86
750,"Похожий на маргарин, растительный, спред на растительном масле, обезжиренный, в виде баночки",44,0.1,3.04,4.34
751,"Похожий на маргарин, растительный, намазанный растительным маслом, 20% жирности, с солью",175,0.0,19.5,0.4
752,"Похожий на маргарин, растительный, растительно-масляный спред, 20% жирности, без соли",175,0.0,19.5,0.4
753,"Заправка для салата, заправка ""тысяча островов"", без жира",132,0.55,1.45,29.27
754,"Заправка для салата, итальянская заправка, без жира",47,0.97,0.87,8.75
755,"Заправка для салата, домашняя заправка, без жира",119,0.25,1.92,26.51
756,"Заправка для салата, домашняя заправка, обычная",430,1.32,44.54,5.9
757,"Заправка для салата, домашняя заправка с пониженным содержанием жира",196,1.25,12.42,21.33
758,"Заправка для салата, легкий майонез",238,0.37,22.22,9.23
759,"Масло техническое, среднеолеиновое, подсолнечное",884,0.0,100.0,0.0
760,Масло рапсовое промышленное с пеногасителем,884,0.0,100.0,0.0
761,"Масло рапсовое промышленное для салатов, воков и легкой обжарки",884,0.0,100.0,0.0
762,"Растительное масло, индус, рапсовое (частично гидролизованное) для жарки во фритюре",884,0.0,100.0,0.0
763,"Масло техническое, кокосовое",884,0.0,100.0,0.0
764,"Масло техническое, соевое (частично гидрогенизированное), для приготовления попкорна и придания вкуса овощам, овощи",884,0.0,100.0,0.0
765,"Шортенинг, индус, соя (частично гидрогенная), обжарка в жидкой заливке",884,0.0,100.0,0.0
766,"Масло техническое, соевое, рафинированное, для приготовления воков и легкой обжарки",884,0.0,100.0,0.0
767,"Масло техническое, соевое (частично гидрогенизированное), для придания немолочного вкуса сливочному маслу",884,0.0,100.0,0.0
768,"Масло техническое, соевое (частично гидрогенизированное), универсальное",884,0.0,100.0,0.0
769,"Масло техническое, соевое (частично гидрогенизированное ) и соевое для обжаривания в разливке",884,0.0,100.0,0.0
770,"Растительное масло, индус, соя (частично гидрогенизированная) и хлопковое семя, измельчитель для тортильи",884,0.0,100.0,0.0
771,"Маргариноподобный шортенинг, индус, соя (частично гидрогенизированная), хлопковое семя и соя",628,0.0,71.0,0.0
772,"Масло техническое, пальмоядровый, кондитерский жир",884,0.0,100.0,0.0
773,"Масло техническое, пальмоядровое (гидрогенизированное), кондитерский жир",884,0.0,100.0,0.0
774,"Масло техническое, пальмоядровое (гидрогенизированное), кондитерский жир",884,0.0,100.0,0.0
775,"Масло промышленное, кокосовое, кондитерский жир, покрытия для мороженого",884,0.0,100.0,0.0
776,"Масло техническое, пальмоядровое (гидрог) для взбитых начинок",884,0.0,100.0,0.0
777,Масло кокосовое техническое (гидрогенизированное) для начинок и отбеливателей,880,0.0,99.5,0.0
778,"Масло техническое, пальмовое и пальмоядровое, жир для начинки (безводный)",880,0.0,99.5,0.0
779,"Масло техническое, пальмоядровое (гидрогенизированное), жир для начинки",884,0.0,100.0,0.0
780,"Масло техническое, соевое (партитурное ), пальмовое, глазурь и начинки",884,0.0,100.0,0.0
781,"Маргарин промышленный, немолочный, хлопковое, соевое масло (частично гидрогенизированное )",714,1.9,80.2,0.0
782,"Шортенинговый, промышленный, соевый (частично гидрогенизированный ) и кукурузный для жарки",884,0.0,100.0,0.0
783,"Шортенинг, индус, соя (частично гидрогенизированная ) для выпечки и кондитерских изделий",884,0.0,100.0,0.0
784,"Маргарин, растительное, соевое и частично гидрогенизированное соевое масло для выпечки, соусов, конфет",714,0.18,80.0,0.71
785,"Продовольственные товары Министерства сельского хозяйства США, масло растительное, овощи, соя рафинированная",884,0.0,100.0,0.0
786,"Пищевые продукты USDA commodity, масло растительное, овощи с низким содержанием насыщенных жиров",884,0.0,100.0,0.0
787,"Спред, похожий на маргарин, обычный маслянистый спред smart balance",583,0.14,64.63,0.14
788,"Спред, похожий на маргарин, легкий маслянистый спред smart balance",337,0.02,36.41,1.98
789,"Спред, похожий на маргарин, smart beat, сверхлегкий, без насыщенных жиров",158,0.0,17.1,0.0
790,"Спред, похожий на маргарин, smart beat smart squeeze",47,0.0,2.1,7.1
791,"Спред, похожий на маргарин, smart balance omega plus",605,0.13,70.95,0.16
792,"Масло растительное, natreon canola, высокостабильное, без транс-соединений, с высоким содержанием олеиновой кислоты (70%)",884,0.0,100.0,0.0
793,"Масло, кулинарный спрей pam, оригинальное",792,0.26,78.69,20.69
794,"Маргарин, растительный, похожий на маргарин, спред из растительного масла, 67-70% жирности, баночный",606,0.07,68.29,0.59
795,"Маргарин 80%-ной жирности, баночный, мягкий спред из урожая канолы",730,0.41,80.32,1.39
796,"Масло для приготовления пищи и салатов, enova, 80% диглицеридов",884,0.0,100.0,0.0
797,"Заправка для салата, медово-горчичная заправка, пониженная калорийность, калории",207,0.98,10.0,28.26
798,"Спред, похожий на маргарин, benecol light spread",357,0.0,38.71,5.71
799,"Заправка для салата, заправка в виде спрея, ассорти вкусов",165,0.16,10.75,16.6
800,"Заправка для салата, майонез, легкая, smart balance, omega plus light",333,1.53,34.18,9.39
801,"Спред на растительном масле, 37% жирности, масла не указаны, с солью, с добавлением витамина d",339,0.51,37.77,0.66
802,"Маргарин обычный, 80% жирности, комбинированный, в виде палочки, с солью, с добавлением витамина d",717,0.16,80.71,0.7
803,"Маргарин обычный, 80% жирности, комбинированный, для ванн, с солью, с добавлением витамина d",713,0.22,80.17,0.75
804,"Спред на растительном масле 60% жирности, в виде палочки, с солью, с добавлением витамина d",537,0.12,60.39,0.69
805,"Спред на растительном масле, 60% жирности, для ванн, с солью, с добавлением витамина d",533,0.17,59.81,0.86
806,"Спред на растительном масле, в палочке/ баночке / бутылочке, 60% жирности, с добавлением витамина d",535,0.6,59.17,0.0
807,"Маргарин обычный, 80% жирности, комбинированный, в виде палочки, без соли, с добавлением витамина d",717,0.16,80.71,0.7
808,"Спред с растительным маслом, 60% жирности, в баночке/бутылочке, без соли, с витамином d",542,0.17,59.81,0.86
809,"Масло техническое, рапсовое, высокоолеиновое",900,0.0,100.0,0.0
810,"Масло техническое, соевое, с низким содержанием линоленовой кислоты",900,0.0,100.0,0.0
811,"Масло промышленное, соевое, со сверхнизким содержанием линоленовой кислоты",884,0.0,100.0,0.0
812,"Масло промышленное, соевое, полностью гидрогенизированное",884,0.0,100.0,0.0
813,"Масло промышленное, из семян хлопчатника, полностью гидрогенизированное",884,0.0,100.0,0.0
814,"Заправка для салата, медово-горчичная, обычная",464,0.87,40.83,23.33
815,Заправка для салата с маком и сливками,399,0.92,33.33,23.73
816,"Заправка для салата ""цезарь"" без жира",131,1.47,0.23,30.73
817,"Заправка медово-горчичная, обезжиренная",169,1.07,1.47,38.43
818,Масло льняное содержит добавленные ломтики льняного семени,878,0.37,99.01,0.39
819,Майонез с пониженным содержанием жира с оливковым маслом,361,0.37,40.0,0.0
820,"Заправка для салата, типа майонеза, легкая",158,0.65,10.0,16.4
821,"Курица, бройлер, гриль, приготовленная на гриле, только грудка",144,28.04,3.57,0.0
822,"Курица, бройлеры или фритюрницы, мясо с кожей, потроха и шейка, сырые",213,18.33,14.83,0.13
823,"Курица, бройлер или фритюрница, мясо с кожей, потрохами и шейкой, обжаренная в кляре",291,22.84,17.53,9.03
824,"Курица, бройлеры или фритюрницы, мясо с кожей, потрохами и шейкой, обжаренные в муке",272,28.57,15.27,3.27
825,"Цыплята, бройлеры или фритюрницы, мясо с кожей, потроха и шейка, запеченные",234,26.78,13.27,0.06
826,"Цыплята, бройлеры или фритюрницы, тушеные с кожей, потрохами и шейкой",216,24.49,12.37,0.06
827,"Курица, бройлеры или фритюрницы, мясо и кожа, сырые",215,18.6,15.06,0.0
828,"Курица, бройлеры или фритюрницы, мясо и кожа, вареные, жареные, в кляре",289,22.54,17.35,9.42
829,"Курица, бройлеры или фритюрницы, мясо и кожа, вареные, жареные, мучные",269,28.56,14.92,3.15
830,"Курица, бройлеры или фритюрницы, мясо и кожа, вареные, запеченные",239,27.3,13.6,0.0
831,"Курица, бройлеры или фритюрницы, мясо и кожа, вареные, тушеные",219,24.68,12.56,0.0
832,"Цыплята, бройлеры или фритюрницы, только из мяса, сырые",119,21.39,3.08,0.0
833,"Курица, бройлеры или фритюрницы, только мясные, вареные, жареные",219,30.57,9.12,1.69
834,"Курица, бройлеры или фритюрницы, только мясные, запеченные",190,28.93,7.41,0.0
835,"Курица, бройлеры или фритюрницы, только мясные, тушеные",177,27.29,6.71,0.0
836,"Курица, бройлеры или фритюрницы, только без кожи, сырая",349,13.33,32.35,0.0
837,"Курица, бройлеры или фритюрницы, только с кожей, вареная, жареная, в кляре",394,10.32,28.83,23.15
838,"Курица, бройлеры или фритюрницы, только с кожей, вареная, жареная, мучная",502,19.09,42.58,9.34
839,"Курица, бройлеры или фритюрницы, только с кожей, вареная, запеченная",454,20.36,40.68,0.0
840,"Курица, бройлеры или фритюрницы, только с кожей, вареная, тушеная",363,15.22,33.04,0.0
841,"Курица, бройлеры или фритюрницы, потроха сырые",124,17.88,4.47,1.8
842,"Курица, бройлеры или фритюрницы, потроха вареные, жареные",277,32.54,13.46,4.35
843,"Курица, бройлеры или фритюрницы, потроха, приготовленные на медленном огне",157,27.15,4.5,0.0
844,"Курица, потроха всех сортов, сырые",94,17.66,2.06,0.0
845,"Курица, желудки всех сортов, приготовленные на медленном огне",154,30.39,2.68,0.0
846,"Курица, сердце, все сорта, сырое",153,15.55,9.33,0.71
847,"Курица, сердце, всех сортов, приготовленная на медленном огне",185,26.41,7.92,0.1
848,"Курица, печень всех сортов, сырая",119,16.92,4.83,0.73
849,"Курица, печень всех сортов, приготовленная на медленном огне",167,24.46,6.51,0.87
850,"Курица, бройлеры или фритюрницы, легкое мясо, мясо с кожей, сырое",186,20.27,11.07,0.0
851,"Цыплята, бройлеры или фритюрницы, легкое мясо, мясо с кожей, вареные, жареные, в кляре",277,23.55,15.44,9.5
852,"Цыплята, бройлеры или фритюрницы, легкое мясо, мясо с кожей, вареные, жареные, мучные",246,30.45,12.09,1.82
853,"Цыплята, бройлеры или фритюрницы, легкое мясо, мясо с кожей, вареные, запеченные",222,29.02,10.85,0.0
854,"Курица, бройлеры или фритюрницы, легкое мясо, мясо с кожей, вареное, тушеное",201,26.14,9.97,0.0
855,"Курица, бройлеры или фритюрницы, темное мясо, мясо с кожей, сырые",237,16.69,18.34,0.0
856,"Курица, бройлеры или фритюрницы, темное мясо, мясо с кожей, вареные, жареные, в кляре",298,21.85,18.64,9.38
857,"Цыплята, бройлеры или фритюрницы, темное мясо, мясо с кожей, вареные, жареные, мучные",285,27.22,16.91,4.08
858,"Цыплята, бройлеры или фритюрницы, темное мясо, мясо с кожей, вареные, запеченные",253,25.97,15.78,0.0
859,"Курица, бройлеры или фритюрницы, темное мясо, мясо с кожей, вареное, тушеное",233,23.5,14.66,0.0
860,"Курица, бройлеры или фритюрницы, легкое мясо, только мясо, сырое",114,23.2,1.65,0.0
861,"Курица, бройлеры или фритюрницы, легкое мясо, только мясо, вареное, жареное",192,32.82,5.54,0.42
862,"Курица, бройлеры или фритюрницы, легкое мясо, только мясо, вареное, запеченное",173,30.91,4.51,0.0
863,"Курица, бройлеры или фритюрницы, легкое мясо, только мясо, вареное, тушеное",159,28.88,3.99,0.0
864,"Курица, бройлеры или фритюрницы, темное мясо, только мясо, сырое",125,20.08,4.31,0.0
865,"Курица, бройлеры или фритюрницы, темное мясо, только мясо, вареное, жареное",239,28.99,11.62,2.59
866,"Курица, бройлеры или фритюрницы, темное мясо, только мясо, вареное, запеченное",205,27.37,9.73,0.0
867,"Курица, бройлеры или фритюрницы, темное мясо, только мясо, вареное, тушеное",192,25.97,8.98,0.0
868,"Цыплята, бройлеры или фритюрницы, жирные, сырые",629,3.73,67.95,0.0
869,"Курица, бройлеры или фритюрницы, спинка, мясо и кожа, сырые",319,14.05,28.74,0.0
870,"Курица, бройлеры или фритюрницы, спинка, мясо и кожа, вареные, жареные, в кляре",331,21.97,21.91,10.25
871,"Курица, бройлеры или фритюрницы, задняя часть, мясо и кожа, вареные, жареные, мучные",331,27.79,20.74,6.5
